Energy virulence model		dt	E_lower	 E_upper									
m	5997	0.01	0.5	0.9									
													
			smooth_step parameter										
			step_time	1.5									
													
				"E (Energy) series is fixed here, ie not calculated "									
k	t	E_lower (lhs)	E_upper (lhs)	E (lhs)	Step-Virulence (rhs)	Smooth-Step_Virulence (rhs)	E_lower<E<E_upper	E<E_lower	from below	t_last_switch	smoothstep		
305	3.05	0.5	0.9	0.6425	0	0	1	0	0	-10.000	1.000		
306	3.06	0.5	0.9	0.641	0	0	1	0	0	-10.000	1.000		
307	3.07	0.5	0.9	0.6395	0	0	1	0	0	-10.000	1.000		
308	3.08	0.5	0.9	0.638	0	0	1	0	0	-10.000	1.000		
309	3.09	0.5	0.9	0.6365	0	0	1	0	0	-10.000	1.000		
310	3.1	0.5	0.9	0.635	0	0	1	0	0	-10.000	1.000		
311	3.11	0.5	0.9	0.6335	0	0	1	0	0	-10.000	1.000		
312	3.12	0.5	0.9	0.632	0	0	1	0	0	-10.000	1.000		
313	3.13	0.5	0.9	0.6305	0	0	1	0	0	-10.000	1.000		
314	3.14	0.5	0.9	0.629	0	0	1	0	0	-10.000	1.000		
315	3.15	0.5	0.9	0.6275	0	0	1	0	0	-10.000	1.000		
316	3.16	0.5	0.9	0.626	0	0	1	0	0	-10.000	1.000		
317	3.17	0.5	0.9	0.6245	0	0	1	0	0	-10.000	1.000		
318	3.18	0.5	0.9	0.623	0	0	1	0	0	-10.000	1.000		
319	3.19	0.5	0.9	0.6215	0	0	1	0	0	-10.000	1.000		
320	3.2	0.5	0.9	0.62	0	0	1	0	0	-10.000	1.000		
321	3.21	0.5	0.9	0.6185	0	0	1	0	0	-10.000	1.000		
322	3.22	0.5	0.9	0.617	0	0	1	0	0	-10.000	1.000		
323	3.23	0.5	0.9	0.6155	0	0	1	0	0	-10.000	1.000		
324	3.24	0.5	0.9	0.614	0	0	1	0	0	-10.000	1.000		
325	3.25	0.5	0.9	0.6125	0	0	1	0	0	-10.000	1.000		
326	3.26	0.5	0.9	0.611	0	0	1	0	0	-10.000	1.000		
327	3.27	0.5	0.9	0.6095	0	0	1	0	0	-10.000	1.000		
328	3.28	0.5	0.9	0.608	0	0	1	0	0	-10.000	1.000		
329	3.29	0.5	0.9	0.6065	0	0	1	0	0	-10.000	1.000		
330	3.3	0.5	0.9	0.605	0	0	1	0	0	-10.000	1.000		
331	3.31	0.5	0.9	0.6035	0	0	1	0	0	-10.000	1.000		
332	3.32	0.5	0.9	0.602	0	0	1	0	0	-10.000	1.000		
333	3.33	0.5	0.9	0.6005	0	0	1	0	0	-10.000	1.000		
334	3.34	0.5	0.9	0.599	0	0	1	0	0	-10.000	1.000		
335	3.35	0.5	0.9	0.5975	0	0	1	0	0	-10.000	1.000		
336	3.36	0.5	0.9	0.596	0	0	1	0	0	-10.000	1.000		
337	3.37	0.5	0.9	0.5945	0	0	1	0	0	-10.000	1.000		
338	3.38	0.5	0.9	0.593	0	0	1	0	0	-10.000	1.000		
339	3.39	0.5	0.9	0.5915	0	0	1	0	0	-10.000	1.000		
340	3.4	0.5	0.9	0.59	0	0	1	0	0	-10.000	1.000		
341	3.41	0.5	0.9	0.5885	0	0	1	0	0	-10.000	1.000		
342	3.42	0.5	0.9	0.587	0	0	1	0	0	-10.000	1.000		
343	3.43	0.5	0.9	0.5855	0	0	1	0	0	-10.000	1.000		
